2025-09-29 13:02:35,758 - WARNING - Error saving BTCUSDT-5m-2025-08.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-08.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14690>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,758 - INFO - Downloaded 0 historical ZIPs for BTC/USDT 5m
2025-09-29 13:02:35,773 - INFO - Fetching recent API data for BTC/USDT 5m from 2025-08-30 13:02:00.420383
2025-09-29 13:02:45,782 - ERROR - Error fetching recent data for BTC/USDT 5m: binance GET https://api.binance.com/api/v3/klines?interval=5m&limit=1000&symbol=BTCUSDT&startTime=1756539120420
2025-09-29 13:02:45,788 - INFO - Downloading historical ZIPs for BTC/USDT 15m from 2023-09-30 13:02:45.788600 to 2025-08-30 13:02:45.788615
2025-09-29 13:02:45,790 - WARNING - Error saving BTCUSDT-15m-2023-09.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-09.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB34050>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,791 - WARNING - Error saving BTCUSDT-15m-2023-10.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-10.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB34550>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,792 - WARNING - Error saving BTCUSDT-15m-2023-11.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-11.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB34A50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,793 - WARNING - Error saving BTCUSDT-15m-2023-12.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-12.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB34F50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,794 - WARNING - Error saving BTCUSDT-15m-2024-01.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-01.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB35450>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,795 - WARNING - Error saving BTCUSDT-15m-2024-02.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-02.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB35950>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,797 - WARNING - Error saving BTCUSDT-15m-2024-03.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-03.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB35E50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,798 - WARNING - Error saving BTCUSDT-15m-2024-04.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-04.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB36350>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,800 - WARNING - Error saving BTCUSDT-15m-2024-05.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-05.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB36850>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,802 - WARNING - Error saving BTCUSDT-15m-2024-06.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-06.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB36D50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,804 - WARNING - Error saving BTCUSDT-15m-2024-07.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-07.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB37250>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,806 - WARNING - Error saving BTCUSDT-15m-2024-08.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-08.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB37750>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,807 - WARNING - Error saving BTCUSDT-15m-2024-09.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-09.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FB37C50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,809 - WARNING - Error saving BTCUSDT-15m-2024-10.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-10.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FF44190>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,810 - WARNING - Error saving BTCUSDT-15m-2024-11.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-11.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FF44690>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,812 - WARNING - Error saving BTCUSDT-15m-2024-12.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-12.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002291FF44B90>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,814 - WARNING - Error saving BTCUSDT-15m-2025-01.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-01.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917E77C50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,816 - WARNING - Error saving BTCUSDT-15m-2025-02.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-02.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14550>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:45,818 - WARNING - Error saving BTCUSDT-15m-2025-03.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-03.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14910>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
